status,source_file,dn_no,mapped_stockist_no,detail
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72493_TC3138_27_AUG_2022.pdf,SS72493,TC3138,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72494_TC3139_27_AUG_2022.pdf,SS72494,TC3139,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72495_TC3147_27_AUG_2022.pdf,SS72495,TC3147,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72498_TC3140_26_AUG_2022.pdf,SS72498,TC3140,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72499_TC3141_01_SEP_2022.pdf,SS72499,TC3141,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72500_TC3142_26_AUG_2022.pdf,SS72500,TC3142,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72501_TC3143_26_AUG_2022.pdf,SS72501,TC3143,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72502_TC3144_26_AUG_2022.pdf,SS72502,TC3144,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72503_TC3145_26_AUG_2022.pdf,SS72503,TC3145,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72504_TC3146_26_AUG_2022.pdf,SS72504,TC3146,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72571_HL0073_26_SEP_2022.pdf,SS72571,HL0073,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72572_HL0074_26_SEP_2022.pdf,SS72572,HL0074,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72573_HL0075_27_SEP_2022.pdf,SS72573,HL0075,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72574_HL0076_26_SEP_2022.pdf,SS72574,HL0076,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72575_HL0077_27_SEP_2022.pdf,SS72575,HL0077,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72576_HL0078_27_SEP_2022.pdf,SS72576,HL0078,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72577_HL0079_26_SEP_2022.pdf,SS72577,HL0079,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72578_HL0080_26_SEP_2022.pdf,SS72578,HL0080,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72579_HL0081_26_SEP_2022.pdf,SS72579,HL0081,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72580_HL0082_26_SEP_2022.pdf,SS72580,HL0082,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72581_HL0083_26_SEP_2022.pdf,SS72581,HL0083,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72582_HL0084_27_SEP_2022.pdf,SS72582,HL0084,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72583_HL0085_03_OCT_2022.pdf,SS72583,HL0085,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72584_HL0086_03_OCT_2022.pdf,SS72584,HL0086,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72585_HL0087_03_OCT_2022.pdf,SS72585,HL0087,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72586_HL0089_03_OCT_2022.pdf,SS72586,HL0089,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72587_HL0088_03_OCT_2022.pdf,SS72587,HL0088,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72588_CG1142_03_OCT_2022.pdf,SS72588,CG1142,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72589_CG1160_03_OCT_2022.pdf,SS72589,CG1160,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72590_CG1161_26_SEP_2022.pdf,SS72590,CG1161,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72591_CG1162_26_SEP_2022.pdf,SS72591,CG1162,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72592_CG1163_26_SEP_2022.pdf,SS72592,CG1163,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72593_CG1164_26_SEP_2022.pdf,SS72593,CG1164,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72594_CG1165_26_SEP_2022.pdf,SS72594,CG1165,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72595_CG1166_26_SEP_2022.pdf,SS72595,CG1166,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72596_CG1167_26_SEP_2022.pdf,SS72596,CG1167,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72597_CG1168_26_SEP_2022.pdf,SS72597,CG1168,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72598_CG1143_03_OCT_2022.pdf,SS72598,CG1143,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72599_CG1144_26_SEP_2022.pdf,SS72599,CG1144,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72600_CG1145_26_SEP_2022.pdf,SS72600,CG1145,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72603_CG1148_26_SEP_2022.pdf,SS72603,CG1148,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72604_CG1149_26_SEP_2022.pdf,SS72604,CG1149,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72605_CG1150_26_SEP_2022.pdf,SS72605,CG1150,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72606_CG1151_26_SEP_2022.pdf,SS72606,CG1151,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72607_CG1152_26_SEP_2022.pdf,SS72607,CG1152,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72608_CG1153_26_SEP_2022.pdf,SS72608,CG1153,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72609_CG1154_10_DEC_2022.pdf,SS72609,CG1154,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72634_HL0109_03_OCT_2022.pdf,SS72634,HL0109,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72635_HL0110_03_OCT_2022.pdf,SS72635,HL0110,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72636_HL0111_03_OCT_2022.pdf,SS72636,HL0111,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72637_HL0112_03_OCT_2022.pdf,SS72637,HL0112,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72638_HL0113_03_OCT_2022.pdf,SS72638,HL0113,already correct
