With IAT Report Folder Name	IAT Formal Folder Name (Matched Relative Path)	Exists In IAT Formal (Y/N)
HL0940	HL0940	Y
HL0941	HL0941	Y
HL0942	HL0942	Y
HL0943	HL0943	Y
HL0944	HL0944	Y
HL0945	HL0945	Y
HL0946	HL0946	Y
HL0947	HL0947	Y
HL0949	HL0949	Y
HL0950	HL0950	Y
HL0951	HL0951	Y
HL0981	HL0981	Y
HL0982	HL0982	Y
HL0983	HL0983	Y
HL0984	HL0984	Y
HL0985	HL0985	Y
HL0986	HL0986	Y
HL0987	HL0987	Y
HL0988	HL0988	Y
HL0989	HL0989	Y
HL0990	HL0990	Y
HL0991	HL0991	Y
HL0992	HL0992	Y
HL1018	HL1018	Y
HL1019	HL1019	Y
HL1020	HL1020	Y
HL1021	HL1021	Y
HL1022	HL1022	Y
HL1023	HL1023	Y
HL1024	HL1024	Y
HL1025	HL1025	Y
HL1026	HL1026	Y
HL1027	HL1027	Y
HL1028	HL1028	Y
HL1029	HL1029	Y
HL1030	HL1030	Y
HL1031	HL1031	Y
HL1032	HL1032	Y
HL1033	HL1033	Y
HL1034	HL1034	Y
HL1035	HL1035	Y
HL1036	HL1036	Y
HL1037	HL1037	Y
HL1038	HL1038	Y
HL1039	HL1039	Y
HL1040	HL1040	Y
HL1041	HL1041	Y
HL1042	HL1042	Y
HL1043	HL1043	Y
HL1044	HL1044	Y
HL1045	HL1045	Y
HL1046	HL1046	Y
HL1051	HL1051	Y
HL1052	HL1052	Y
HL1075	HL1075	Y
HL1076	HL1076	Y
HL1077	HL1077	Y
HL1078	HL1078	Y
HL1079	HL1079	Y
HL1080	HL1080	Y
HL1081	HL1081	Y
HL1082	HL1082	Y
HL1083	HL1083	Y
HL1084	HL1084	Y
HL1085	HL1085	Y
HL1086	HL1086	Y
HL1087	HL1087	Y
HL1110	HL1110	Y
HL1111	HL1111	Y
HL1112	HL1112	Y
HL1113	HL1113	Y
HL1114	HL1114	Y
HL1115	HL1115	Y
HL1116	HL1116	Y
HL1117	HL1117	Y
HL1118	HL1118	Y
HL1143	HL1143	Y
HL1144	HL1144	Y
HL1145	HL1145	Y
HL1146	HL1146	Y
HL1147	HL1147	Y
HL1148	HL1148	Y
HL1149	HL1149	Y
HL1150	HL1150	Y
HL1151	HL1151	Y
HL1152	HL1152	Y
